id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Arrival Delay in Minutes_width_bin,Departure Delay in Minutes_width_bin,Arrival Delay in Minutes_depth_bin,Departure Delay in Minutes_depth_bin
52307,Female,disloyal Customer,33,Business travel,Eco,370,3,2,3,3,4,3,4,4,1,3,3,2,4,4,0,8.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]"
125937,Female,Loyal Customer,15,Personal Travel,Eco,1013,1,1,1,4,3,1,1,3,1,5,3,3,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
14812,Male,Loyal Customer,29,Personal Travel,Eco,95,4,1,4,4,1,4,2,1,3,1,4,2,4,1,0,8.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]"
48487,Female,disloyal Customer,36,Business travel,Eco,964,3,3,3,1,4,3,3,4,5,4,5,5,1,4,42,37.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]"
96853,Male,Loyal Customer,36,Business travel,Business,2136,2,5,5,5,4,4,3,2,2,2,2,4,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
38883,Female,Loyal Customer,62,Business travel,Business,3486,2,4,4,4,3,3,3,2,2,3,2,1,2,4,12,9.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]"
72481,Female,Loyal Customer,36,Business travel,Business,3657,2,3,5,3,1,4,4,2,2,2,2,3,2,2,32,28.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]"
125426,Male,Loyal Customer,36,Business travel,Eco,335,1,3,3,3,1,1,1,1,2,3,3,4,4,1,0,2.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
81963,Female,disloyal Customer,41,Business travel,Business,1535,1,1,1,4,5,1,5,5,3,4,5,5,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
92089,Male,Loyal Customer,61,Business travel,Eco,1535,2,4,4,4,2,2,2,2,1,4,4,3,4,2,16,11.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]"
89896,Female,disloyal Customer,36,Business travel,Eco,1416,4,4,4,3,4,4,4,4,1,2,4,1,3,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
107051,Male,Loyal Customer,31,Business travel,Business,1962,3,4,1,4,3,3,3,3,2,1,3,4,3,3,19,7.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]"
116469,Male,Loyal Customer,54,Personal Travel,Eco,296,1,3,1,3,4,1,4,4,1,1,4,3,3,4,2,2.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
108224,Male,Loyal Customer,46,Business travel,Business,2871,3,4,1,4,2,4,3,3,3,3,3,2,3,2,9,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]"
19021,Male,Loyal Customer,64,Personal Travel,Eco,788,3,5,3,1,2,3,2,2,5,4,4,5,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]"
