Departure Delay in Minutes,Arrival Delay in Minutes,Cluster
0,8.0,0
0,0.0,0
0,8.0,0
42,37.0,0
0,0.0,0
12,9.0,0
32,28.0,0
0,2.0,0
0,0.0,0
16,11.0,0
0,0.0,0
19,7.0,0
2,2.0,0
9,0.0,0
0,0.0,0
0,0.0,0
17,66.0,0
1,0.0,0
0,0.0,0
62,88.0,0
165,130.0,1
5,7.0,0
8,0.0,0
6,0.0,0
0,0.0,0
0,0.0,0
16,22.0,0
0,0.0,0
38,34.0,0
14,8.0,0
0,0.0,0
18,23.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
29,15.0,0
0,0.0,0
0,0.0,0
66,54.0,0
0,0.0,0
219,214.0,1
94,118.0,1
0,19.0,0
7,16.0,0
5,6.0,0
4,3.0,0
40,36.0,0
0,3.0,0
1,5.0,0
7,5.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,25.0,0
36,29.0,0
58,44.0,0
0,0.0,0
0,12.0,0
35,12.0,0
45,53.0,0
0,0.0,0
0,0.0,0
10,5.0,0
0,0.0,0
4,12.0,0
7,0.0,0
31,30.0,0
0,0.0,0
0,0.0,0
0,0.0,0
40,38.0,0
130,134.0,1
0,0.0,0
27,26.0,0
11,0.0,0
0,0.0,0
0,0.0,0
25,13.0,0
0,0.0,0
0,8.0,0
5,0.0,0
18,12.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,1.0,0
1,0.0,0
0,0.0,0
0,12.0,0
0,0.0,0
0,0.0,0
35,45.0,0
53,50.0,0
0,21.0,0
0,0.0,0
2,7.0,0
0,0.0,0
8,6.0,0
19,3.0,0
0,0.0,0
9,2.0,0
48,94.0,0
0,0.0,0
0,25.0,0
0,5.0,0
1,0.0,0
6,13.0,0
6,0.0,0
38,42.0,0
0,0.0,0
0,9.0,0
0,0.0,0
108,100.0,1
0,0.0,0
0,0.0,0
21,19.0,0
29,15.0,0
0,0.0,0
0,0.0,0
0,4.0,0
71,78.0,0
0,0.0,0
17,4.0,0
0,5.0,0
21,30.0,0
94,95.0,1
2,0.0,0
1,4.0,0
7,0.0,0
0,0.0,0
0,0.0,0
3,2.0,0
0,0.0,0
0,0.0,0
67,53.0,0
17,20.0,0
10,0.0,0
0,0.0,0
6,0.0,0
0,11.0,0
1,0.0,0
0,7.0,0
48,77.0,0
0,0.0,0
14,8.0,0
0,0.0,0
0,0.0,0
17,7.0,0
0,0.0,0
2,7.0,0
5,12.0,0
41,35.0,0
0,0.0,0
0,42.0,0
0,0.0,0
0,0.0,0
0,3.0,0
20,23.0,0
0,0.0,0
61,60.0,0
0,0.0,0
37,47.0,0
124,108.0,1
0,2.0,0
75,86.0,1
28,2.0,0
0,0.0,0
0,0.0,0
0,0.0,0
3,2.0,0
0,0.0,0
0,15.0,0
10,27.0,0
1,9.0,0
0,0.0,0
199,192.0,1
0,0.0,0
50,51.0,0
0,20.0,0
0,0.0,0
40,27.0,0
0,0.0,0
199,192.0,1
0,0.0,0
233,274.0,1
0,0.0,0
77,62.0,0
9,6.0,0
0,0.0,0
0,4.0,0
0,0.0,0
23,21.0,0
62,94.0,1
23,28.0,0
0,6.0,0
2,3.0,0
11,26.0,0
0,0.0,0
0,0.0,0
0,14.0,0
0,0.0,0
0,0.0,0
0,0.0,0
5,3.0,0
0,0.0,0
0,0.0,0
4,0.0,0
9,8.0,0
17,13.0,0
22,15.0,0
30,43.0,0
0,0.0,0
0,0.0,0
3,4.0,0
0,0.0,0
6,3.0,0
1,0.0,0
23,19.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,10.0,0
0,10.0,0
2,0.0,0
6,0.0,0
0,6.0,0
17,5.0,0
0,11.0,0
17,0.0,0
0,0.0,0
0,1.0,0
0,0.0,0
31,39.0,0
4,0.0,0
2,27.0,0
0,0.0,0
0,0.0,0
